"Date","Price","Open","High","Low","Vol.","Change %"
"06/20/2025","107.14","106.69","107.99","105.97","1.36M","0.89%"
"06/18/2025","106.20","105.80","106.90","105.44","577.01K","0.45%"
"06/17/2025","105.72","107.00","107.63","105.62","690.04K","-1.34%"
"06/16/2025","107.16","109.05","109.26","105.65","941.16K","-1.34%"
"06/13/2025","108.62","109.24","110.00","108.37","410.70K","-1.10%"
"06/12/2025","109.83","108.58","109.89","107.35","591.41K","1.53%"
"06/11/2025","108.18","111.23","112.00","108.11","496.05K","-2.63%"
"06/10/2025","111.10","110.33","111.69","110.25","482.44K","0.90%"
"06/09/2025","110.11","108.66","110.35","107.91","518.53K","1.33%"
"06/06/2025","108.66","106.50","109.34","106.42","631.11K","2.35%"
"06/05/2025","106.17","107.56","107.88","105.21","746.53K","-1.40%"
"06/04/2025","107.68","111.59","111.67","106.03","908.70K","-3.37%"
"06/03/2025","111.44","112.35","112.35","110.24","591.43K","-1.23%"
"06/02/2025","112.83","113.98","113.98","110.52","689.51K","-1.59%"
"05/30/2025","114.65","113.75","115.78","113.16","725.36K","0.58%"
"05/29/2025","113.99","114.01","114.82","111.52","717.06K","-0.21%"
"05/28/2025","114.23","113.08","117.85","113.00","755.03K","1.15%"
"05/27/2025","112.93","115.73","117.30","110.82","929.42K","-1.25%"
"05/23/2025","114.36","112.78","114.65","112.08","544.53K","1.19%"
"05/22/2025","113.02","113.70","115.27","113.02","561.42K","-0.69%"
"05/21/2025","113.80","115.59","115.60","112.87","559.08K","-1.90%"
"05/20/2025","116.00","116.50","117.40","115.59","352.70K","-0.42%"
"05/19/2025","116.49","117.59","118.36","115.50","599.70K","-0.94%"
"05/16/2025","117.59","117.02","117.80","115.60","643.42K","1.15%"
"05/15/2025","116.25","114.83","117.26","114.50","586.85K","1.53%"
"05/14/2025","114.50","115.13","116.98","113.50","816.72K","-0.55%"
"05/13/2025","115.13","117.62","117.62","114.80","724.92K","-2.04%"
"05/12/2025","117.53","117.00","119.15","115.10","789.38K","1.98%"
"05/09/2025","115.25","118.30","118.40","113.70","809.15K","-2.81%"
"05/08/2025","118.58","120.00","120.00","117.30","675.55K","-0.65%"
"05/07/2025","119.36","118.90","120.26","118.47","690.46K","1.67%"
"05/06/2025","117.40","113.71","118.71","113.19","882.47K","3.24%"
"05/05/2025","113.72","113.47","117.09","110.65","1.39M","-0.68%"
"05/02/2025","114.50","120.50","121.16","114.06","1.24M","-4.03%"
"05/01/2025","119.31","135.25","135.25","118.25","1.78M","-12.00%"
"04/30/2025","135.58","134.94","135.58","133.25","725.82K","0.34%"
"04/29/2025","135.12","133.81","135.96","133.81","439.75K","-0.09%"
"04/28/2025","135.24","136.99","137.00","134.40","390.93K","-1.21%"
"04/25/2025","136.90","139.34","139.34","134.77","319.32K","-1.52%"
"04/24/2025","139.02","139.50","142.13","138.50","486.38K","-0.17%"
"04/23/2025","139.26","139.49","141.00","137.41","464.26K","1.41%"
"04/22/2025","137.33","137.97","140.14","136.85","428.80K","0.67%"
"04/21/2025","136.41","141.58","141.58","135.18","504.95K","-3.67%"
"04/17/2025","141.60","140.01","142.94","140.00","307.72K","1.15%"
"04/16/2025","139.99","140.24","142.02","138.85","441.66K","-0.18%"
"04/15/2025","140.24","142.40","143.40","140.24","374.58K","-0.77%"
"04/14/2025","141.33","142.16","142.16","139.53","388.75K","1.30%"
"04/11/2025","139.52","139.00","140.20","136.21","377.25K","1.11%"
"04/10/2025","137.99","135.90","140.63","135.42","577.79K","1.53%"
"04/09/2025","135.91","128.30","137.63","126.64","671.87K","5.00%"
"04/08/2025","129.44","133.06","136.60","128.12","981.87K","0.49%"
"04/07/2025","128.81","126.31","133.72","122.50","835.84K","-1.38%"
"04/04/2025","130.61","136.05","137.56","130.61","658.17K","-6.10%"
"04/03/2025","139.09","136.52","140.66","135.50","577.98K","-0.59%"
"04/02/2025","139.91","138.30","140.10","136.80","506.68K","0.74%"
"04/01/2025","138.88","135.00","138.89","134.26","414.32K","2.87%"
"03/31/2025","135.00","132.00","137.00","132.00","547.80K","1.49%"
"03/28/2025","133.02","131.63","133.20","130.51","300.54K","1.16%"
"03/27/2025","131.50","129.90","133.45","129.90","505.07K","1.24%"
"03/26/2025","129.89","129.54","130.48","129.54","296.44K","0.13%"
"03/25/2025","129.72","129.20","129.72","126.82","434.80K","0.95%"
"03/24/2025","128.50","130.76","133.08","127.27","503.39K","-1.20%"
"03/21/2025","130.06","130.66","131.80","129.38","1.65M","-0.99%"
"03/20/2025","131.36","132.59","133.56","131.33","322.97K","-0.97%"
"03/19/2025","132.65","130.51","134.90","129.71","423.98K","0.77%"
"03/18/2025","131.63","130.99","133.43","130.11","340.22K","0.02%"
"03/17/2025","131.60","132.69","134.55","131.35","411.22K","-0.19%"
"03/14/2025","131.85","131.93","133.59","130.76","369.25K","0.37%"
"03/13/2025","131.37","133.64","133.64","131.26","281.59K","-1.83%"
"03/12/2025","133.82","132.32","134.81","130.62","700.94K","2.66%"
"03/11/2025","130.35","122.76","131.00","122.76","653.39K","6.18%"
"03/10/2025","122.76","132.06","132.20","122.76","641.98K","-7.27%"
"03/07/2025","132.38","133.50","134.04","131.40","498.90K","-1.02%"
"03/06/2025","133.75","134.50","134.79","131.94","431.59K","-1.39%"
"03/05/2025","135.63","133.50","136.42","132.50","576.43K","1.57%"
"03/04/2025","133.54","138.26","139.93","133.28","654.34K","-5.10%"
"03/03/2025","140.72","141.60","142.02","139.82","760.05K","-0.70%"
"02/28/2025","141.71","140.85","141.92","138.90","731.28K","1.14%"
"02/27/2025","140.11","137.12","140.82","136.57","352.07K","2.22%"
"02/26/2025","137.07","140.00","140.10","137.00","347.84K","-1.61%"
"02/25/2025","139.32","140.24","140.50","138.34","329.23K","0.17%"
"02/24/2025","139.09","138.29","140.18","135.62","470.67K","0.58%"
"02/21/2025","138.29","144.26","145.00","133.00","676.92K","-4.14%"
"02/20/2025","144.26","140.00","145.18","139.77","452.94K","2.33%"
"02/19/2025","140.97","139.85","141.25","139.80","305.95K","0.82%"
"02/18/2025","139.83","141.51","141.51","138.45","348.95K","-0.73%"
"02/14/2025","140.86","145.70","145.88","140.23","468.76K","-3.42%"
"02/13/2025","145.85","143.37","146.09","142.86","340.38K","2.33%"
"02/12/2025","142.53","140.29","142.53","138.31","268.84K","0.70%"
"02/11/2025","141.54","141.05","143.06","139.25","330.41K","0.93%"
"02/10/2025","140.24","137.20","142.10","135.96","344.50K","2.25%"
"02/07/2025","137.16","134.99","137.55","134.99","225.54K","0.85%"
"02/06/2025","136.01","138.83","139.51","134.10","317.02K","-1.28%"
"02/05/2025","137.78","138.53","140.10","137.12","419.73K","-0.54%"
"02/04/2025","138.53","135.12","138.87","135.12","368.83K","1.75%"
"02/03/2025","136.15","133.63","138.81","132.68","437.22K","-0.45%"
"01/31/2025","136.76","136.12","137.48","135.39","387.23K","0.10%"
"01/30/2025","136.62","136.00","138.08","133.75","295.20K","0.94%"
"01/29/2025","135.35","133.58","136.86","133.58","413.69K","1.33%"
"01/28/2025","133.58","132.05","134.17","131.45","328.89K","1.16%"
"01/27/2025","132.05","129.18","132.46","129.18","375.94K","2.21%"
"01/24/2025","129.20","131.53","131.53","128.40","278.25K","-1.96%"
"01/23/2025","131.78","133.97","133.97","130.85","478.27K","-1.19%"
"01/22/2025","133.37","135.85","135.85","133.17","280.44K","-1.89%"
"01/21/2025","135.94","139.50","141.15","133.58","387.02K","-1.95%"
"01/17/2025","138.64","134.29","143.85","134.29","1.05M","3.71%"
"01/16/2025","133.68","130.00","133.68","130.00","437.87K","2.83%"
"01/15/2025","130.00","130.00","132.25","128.38","352.21K","0.63%"
"01/14/2025","129.18","126.58","130.38","126.58","263.42K","2.70%"
"01/13/2025","125.78","124.35","125.78","123.63","277.84K","0.29%"
"01/10/2025","125.42","126.89","126.89","123.81","329.78K","-2.56%"
"01/08/2025","128.72","128.90","129.62","126.89","279.14K","-0.20%"
"01/07/2025","128.98","131.50","133.67","128.97","334.37K","-1.92%"
"01/06/2025","131.50","132.20","133.88","130.24","499.08K","-0.53%"
"01/03/2025","132.20","128.20","135.00","128.20","799.89K","3.28%"
"01/02/2025","128.00","126.10","128.22","126.10","404.97K","1.59%"
"12/31/2024","126.00","123.67","126.18","123.67","457.23K","1.61%"
"12/30/2024","124.00","122.87","125.58","122.13","249.89K","0.62%"
"12/27/2024","123.24","121.36","123.31","121.21","293.35K","0.79%"
